Time,LeftKnee.y,RightKnee.y
3.4926669,-0.2783555,-0.2796114
3.5536704,-0.2783428,-0.2796226
3.5706703,-0.2783352,-0.2796273
3.5986727,-0.2783327,-0.2796314
3.6296751,-0.2783315,-0.2796321
3.6626769,-0.2783418,-0.2796325
3.7136796,-0.2783504,-0.2796311
3.7296804,-0.2783756,-0.2796291
3.7636825,-0.278435,-0.2796225
3.7966854,-0.2784849,-0.2796116
3.8306864,-0.2785174,-0.2796039
3.8636885,-0.2785465,-0.279597
3.8916906,-0.2785746,-0.27959
3.9536939,-0.2785899,-0.2795834
3.9966957,-0.2786031,-0.2795758
4.0306981,-0.2786598,-0.2795567
4.0637003,-0.2786838,-0.279535
4.0917050,-0.278695,-0.2795131
4.1517067,-0.2786993,-0.2794905
4.1677071,-0.278684,-0.2794662
4.1957083,-0.2786632,-0.279442
4.2277098,-0.2786396,-0.2794181
4.2607120,-0.2786121,-0.2793923
4.3117148,-0.2786047,-0.2793661
4.3557187,-0.2785978,-0.27934
4.3717176,-0.2785721,-0.2793103
4.3997211,-0.2785295,-0.2792807
4.4307220,-0.2784502,-0.2792467
4.4647279,-0.2783808,-0.279203
4.4927253,-0.2783075,-0.2791604
4.5567292,-0.2784249,-0.2789972
4.5997313,-0.2785579,-0.2788684
4.6307342,-0.2786572,-0.2785818
4.6607348,-0.2787401,-0.2783235
4.6937374,-0.2787415,-0.2781055
4.7307395,-0.2780209,-0.2778292
4.7627448,-0.2764205,-0.2770517
4.7947437,-0.2752274,-0.2768607
4.8297460,-0.2765147,-0.2778504
4.8627482,-0.2817645,-0.2840916
4.8967491,-0.291963,-0.2937036
4.9337516,-0.3022426,-0.3041187
4.9667542,-0.3119335,-0.3130335
4.9997564,-0.3223255,-0.3257632
5.0357575,-0.3303677,-0.3360909
5.0667599,-0.3355622,-0.3421399
5.0977612,-0.3381649,-0.3448982
5.1327639,-0.3337152,-0.3347603
5.1667660,-0.2997899,-0.3032829
5.2017679,-0.2451714,-0.2579671
5.2387700,-0.1994881,-0.2005079
5.2727725,-0.1351783,-0.1307724
5.3047771,-0.04820444,-0.05203152
5.3397764,0.04472934,0.06732205
5.3717779,0.1310392,0.173953
5.4037794,0.1235082,0.180171
5.4377823,0.1710283,0.2201117
5.4707841,0.2491148,0.263987
5.5027852,0.2721207,0.2593277
